2023-05-14 00:05:719 INFO  LoginPage :36 - Enter username <usernameField>
2023-05-14 00:05:244 INFO  LoginPage :42 - Enter password <passwordField>
2023-05-14 00:05:589 INFO  LoginPage :50 - Click on login button [[ChromeDriver: chrome on WINDOWS (5ab9099edc5c73cb15d50271489099bd)] -> id: login-button]
2023-05-14 00:05:687 INFO  LoginPage :36 - Enter username standard_user
2023-05-14 00:05:79 INFO  LoginPage :42 - Enter password secret_sauce
2023-05-14 00:05:613 INFO  LoginPage :50 - Click on login button [[ChromeDriver: chrome on WINDOWS (5ad81fe4b61a852bfac0b39528614947)] -> id: login-button]
2023-05-14 00:05:516 INFO  LoginPage :36 - Enter username standard_user
2023-05-14 00:05:803 INFO  LoginPage :42 - Enter password secret_sauce
2023-05-14 00:05:304 INFO  LoginPage :50 - Click on login button [[ChromeDriver: chrome on WINDOWS (c62bc6aa9360befcd71b20c3fef6f08e)] -> id: login-button]
2023-05-14 00:05:369 INFO  LoginPage :36 - Enter username standard_user
2023-05-14 00:05:540 INFO  LoginPage :42 - Enter password secret_sauce
2023-05-14 00:05:771 INFO  LoginPage :50 - Click on login button [[ChromeDriver: chrome on WINDOWS (155e0f4d573c3e1c9bd6a27cf197db83)] -> id: login-button]
2023-05-14 00:05:412 INFO  LoginPage :36 - Enter username standard_user
2023-05-14 00:05:839 INFO  LoginPage :42 - Enter password secret_sauce
2023-05-14 00:05:231 INFO  LoginPage :50 - Click on login button [[ChromeDriver: chrome on WINDOWS (f3770c381aa7215f011e11fbbb9f0b3a)] -> id: login-button]
2023-05-14 00:05:37 INFO  LoginPage :36 - Enter username standard_user
2023-05-14 00:05:250 INFO  LoginPage :42 - Enter password secret_sauce
2023-05-14 00:05:611 INFO  LoginPage :50 - Click on login button [[ChromeDriver: chrome on WINDOWS (cd364946283f49b5262029d68070f99e)] -> id: login-button]
2023-05-14 00:05:936 INFO  LoginPage :36 - Enter username standard_user
2023-05-14 00:05:156 INFO  LoginPage :42 - Enter password secret_sauce
2023-05-14 00:05:433 INFO  LoginPage :50 - Click on login button [[ChromeDriver: chrome on WINDOWS (be4c7169fad2941c1dd5e0357414e3c0)] -> id: login-button]
2023-05-14 00:05:255 INFO  LoginPage :36 - Enter username standard_user
2023-05-14 00:05:451 INFO  LoginPage :42 - Enter password secret_sauce
2023-05-14 00:05:682 INFO  LoginPage :50 - Click on login button [[ChromeDriver: chrome on WINDOWS (7b885597e993264e110be701cf3198c8)] -> id: login-button]
2023-05-14 00:05:267 INFO  LoginPage :36 - Enter username standard_user
2023-05-14 00:05:583 INFO  LoginPage :42 - Enter password secret_sauce
